,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
119,PBL,OTHER,99508,18,H,F,3,,,L4E,L,C,S,2
120,SYN,MO,65473-,39,U,M,3,,,L4E,L,D,T,2
121,L01,OTHER,35620,43,H,M,3,,,L1F,L,D,R,2
122,DNA,FL,34990,23,U,F,3,,,L4D,L,B,C,1
123,L01,FL,34691,33,H,M,2,,,L1F,L,A,C,3
124,OMH,CA,92056,24,H,M,3,12,,L2E,L,A,C,1
125,CRG,FL,34761-,49,U,F,3,,,L2G,L,B,R,2
126,L04,FL,32174,40,U,F,2,,,L2F,L,B,T,2
127,MBC,OTHER,55411,8,H,F,3,,,L1F,L,A,U,3
128,SGI,OTHER,70122,8,U,M,1,,Y,L3E,L,B,U,3
129,L02,OTHER,67218,31,H,F,2,,,L1G,L,B,C,3
130,UBA,FL,34748,37,H,F,2,,,L1F,L,C,T,2
131,ASH,IL,60646,13,H,F,3,,,L3E,L,A,S,1
132,DRK,OTHER,85284,14,H,F,2,,,L1F,L,A,S,1
133,COK,IL,60463,13,H,F,2,12,,L1G,L,A,S,1
134,ESN,IL,61554,30,H,F,3,,Y,L1G,L,B,C,3
135,RPH,MI,48446,40,H,F,3,,,L1F,L,A,T,2
136,SYN,CA,91030,3,U,F,2,,,L1F,L,A,U,1
137,ESN,MI,49445,24,U,M,3,,,L4F,L,C,C,1
138,STV,IL,61008,36,U,F,3,,,L2G,L,B,T,2
139,L01,TX,78748,12,H,M,3,,,L2G,L,B,S,1
140,ARG,MI,48455,44,H,M,3,,,L1F,L,A,R,2
141,NAS,OTHER,99709,40,H,F,2,,,L1F,L,C,T,2
142,SSS,WA,98292,40,H,M,2,12,,L4E,L,A,T,2
143,LEO,IL,60625-,7,H,F,3,,,L1F,L,A,U,2
144,KNG,FL,34208,30,H,F,3,,,L3F,L,B,C,3
145,AMB,MI,48310,17,U,F,3,,,L1G,L,A,S,2
146,HCC,MO,65233,36,H,F,2,,,L1F,L,D,T,2
147,APP,IN,46064,49,U,M,3,,,L1F,L,C,R,2
148,KIP,CA,95628,14,H,M,2,,Y,L1G,L,B,S,1
149,ASS,FL,32176,28,H,F,3,,,L4D,L,B,C,2
150,GDA,IN,46706,44,U,M,3,,,L3E,L,B,R,2
151,GRT,OTHER,97071,45,U,F,1,,,L1F,L,B,R,2
152,MBC,TX,78040,10,H,F,1,12,Y,L3E,L,C,U,4
153,CWR,CA,91403,15,U,F,3,,,L1G,L,A,S,1
154,LHJ,TX,77028,32,H,F,3,,,L1G,L,A,C,3
155,BHG,OTHER,72761,36,U,M,3,,,L1G,L,C,T,2
156,BHG,OTHER,88001,27,H,M,3,,,L1F,L,C,C,2
157,L01,FL,32134,53,U,M,3,,,L3E,L,C,R,3
158,STR,OTHER,36915,51,U,M,3,,,L1F,L,D,R,3
159,L01,CA,95926,24,H,F,3,,,L1F,L,C,C,1
160,HHH,MI,49854,36,U,,3,,,L3G,L,D,T,2
161,DNA,OTHER,37217,12,H,M,3,,,L4E,L,B,S,1
162,CAW,OTHER,73505,30,U,M,2,,,L1F,L,C,C,3
163,MBC,OTHER,59801,31,H,M,3,,,L2E,L,C,C,3
164,RPH,NC,27609,22,U,,3,,,L4E,L,B,C,1
165,GRI,OTHER,29604,31,U,M,3,,,L3E,L,B,C,3
166,DNA,FL,32801,22,U,F,2,,,L2F,L,B,C,1
167,GET,OTHER,70471,40,U,M,3,,,L1F,L,B,T,2
168,HOS,GA,30905,39,U,F,1,,,L1F,L,B,T,2
169,ASC,CA,95817-,46,U,F,3,,,L4E,L,B,R,2
170,CWR,GA,31206,27,H,M,3,,,L1F,L,B,C,2
171,USB,MI,48911,32,U,F,2,,,L2F,L,B,C,3
172,USB,FL,32789,27,U,F,3,,,L4D,L,B,C,2
173,BOA,OTHER,41018,16,H,F,2,,,L1G,L,B,S,2
174,HAN,TX,75065,40,U,F,2,12,,L1F,L,A,T,2
175,DEL,CA,94514,35,H,F,3,,,L1G,L,A,T,1
176,L01,MI,49028,43,H,M,3,12,,L2F,L,D,R,2
177,AGS,CA,94512,44,H,F,3,,,L1F,L,A,R,2
178,HOS,CA,90044,10,U,F,2,,,L1F,L,A,U,4
179,HOS,FL,34736,9,U,F,3,,,L1F,L,C,U,3
180,IMA,WA,98198,27,H,F,3,,,L1F,L,A,C,2
181,FRC,OTHER,38930,41,H,F,2,,,L2F,L,D,T,3
182,FLD,NC,27948,40,H,F,3,,,L3E,L,D,T,2
183,HOS,OTHER,96326,10,U,J,3,,,L2F,L,A,U,4
184,AGS,OTHER,67122,51,U,M,3,,,L2F,L,D,R,3
185,CRG,CA,92117,20,H,F,3,12,Y,L3G,L,A,S,2
186,BHG,FL,33844,46,U,F,3,,,L1E,L,B,R,2
187,L25,OTHER,55804,51,U,M,3,,,L1G,L,B,R,3
188,SYN,CA,94131,1,H,F,3,,,L2F,L,A,U,1
189,HHL,OTHER,80915,18,U,M,2,,Y,L1G,L,B,S,2
190,MER,NC,28560,38,U,F,2,,,L4D,L,C,T,2
191,LEO,CA,92592,35,H,F,3,,,L1F,L,A,T,1
192,SYC,OTHER,59643,49,U,,3,,,L4E,L,D,R,2
193,SYN,TX,75232,16,H,F,3,,,L1F,L,A,S,2
194,HAM,FL,32776,46,H,F,3,,,L1F,L,C,R,2
195,BOA,CA,93312,40,U,M,3,,,L1G,L,B,T,2
196,PSM,GA,30506,15,U,M,3,,,L1G,L,C,S,1
197,HIL,MI,48235,10,H,F,2,,,L3D,L,A,U,4
198,SPN,OTHER,70001,5,H,M,3,,,L3E,L,B,U,2
199,L02,WA,98205,40,H,M,3,,Y,L3E,L,A,T,2
200,SYN,GA,30542,40,H,M,2,,Y,L3E,L,C,T,2
201,SSS,MI,48446,38,H,F,3,,,L4E,L,A,T,2
202,AIR,WA,98513,39,H,M,2,,,L2F,L,C,T,2
203,IMP,OTHER,85282,23,U,F,3,,,L2F,L,A,C,1
204,DUR,CA,92020,12,H,F,3,,,L1G,L,A,S,1
205,DNB,FL,33838,37,U,M,2,,,L3F,L,B,T,2
206,HCC,WA,98902,24,H,M,3,,,L2F,L,C,C,1
207,STR,TX,77573,24,H,M,3,,Y,L3G,L,A,C,1
208,BRY,CA,92113,10,H,F,3,,,L2G,L,A,U,4
209,DNB,CA,93550,30,H,M,3,,,L1F,L,A,C,3
210,GPS,OTHER,87107,11,H,M,2,,Y,L1F,L,B,S,1
211,IMP,CA,95136,2,H,M,2,,,L1F,L,A,U,1
212,ASP,CA,92256,46,H,F,2,,,L1F,L,A,R,2
213,ASC,FL,33308,23,H,M,3,,,L3E,L,A,C,1
214,IMP,IN,47408,24,U,M,3,,,L1F,L,C,C,1
215,HOS,NC,27406,32,U,M,3,,,L2F,L,B,C,3
216,CWR,NC,28609,51,U,F,3,,,L1F,L,B,R,3
217,CWR,OTHER,36037,50,U,U,2,,,L3G,L,D,R,3
218,INN,FL,32541,42,U,M,1,,,L3E,L,D,R,1
219,ABW,OTHER,72908,11,U,M,3,,,L4D,L,C,S,1
220,HOS,CA,93311,40,H,F,3,,,L2F,L,B,T,2
221,CFI,CA,94536,12,H,F,2,,Y,L1F,L,A,S,1
222,JFY,IL,62901,35,H,F,3,,,L1E,L,C,T,1
223,BHG,IL,60452,18,U,,3,,,L1F,L,A,S,2
224,AGS,CA,90302-,3,H,M,3,,,L1F,L,A,U,1
225,LAK,OTHER,59454,43,U,M,3,,,L3F,L,D,R,2
226,DNA,FL,33827,40,H,F,2,12,,L3F,L,B,R,2
227,LVT,FL,34243,12,H,M,3,12,,L2G,L,B,S,1
228,L01,TX,78240,12,H,F,3,,,L1F,L,B,S,1
229,BHG,GA,30084,12,H,F,2,,,L1F,L,A,S,1
230,AML,FL,33066,29,H,F,3,,,L2E,L,A,C,2
231,MBC,CA,90802,4,U,F,1,,,L3E,L,A,U,2
232,PBL,NC,27514,22,H,F,3,,,L1G,L,B,C,1
233,FRC,OTHER,55106,5,H,F,3,,,L4E,L,A,U,2
234,L01,CA,95123,3,H,M,2,,Y,L3F,L,A,U,1
235,DUR,MO,63301,15,H,M,2,,,L3G,L,A,S,1
236,PV3,WI,53142,18,H,F,3,,Y,L2E,L,A,S,2
237,DRK,MO,63126,12,H,M,3,,Y,L2E,L,A,S,1
238,AMB,TX,75158,49,H,F,2,,,L3E,L,A,R,2
239,LHJ,OTHER,67801,39,U,M,2,,,L4E,L,D,T,2
240,RED,FL,34990,34,H,F,3,,,L1F,L,B,T,1
241,PV3,OTHER,67124,46,U,M,3,,,L2F,L,D,R,2
242,TIM,CA,95212,35,H,M,3,,Y,L2F,L,B,T,1
243,IMP,MO,64093,40,U,M,3,,,L3D,L,D,T,2
244,MON,CA,92683,14,H,M,3,,,L2F,L,A,S,1
245,SGI,OTHER,74501,37,H,F,3,,Y,L1F,L,D,T,2
246,L01,OTHER,55345,17,U,,3,,,L2F,L,A,S,2
247,LHJ,CA,92679,35,H,M,2,,Y,L2G,L,A,T,1
248,MM3,CA,90638,13,H,M,3,,,L3E,L,A,S,1
249,FAR,OTHER,97801,38,U,M,3,,,L2F,L,C,T,2
250,HOS,CA,90003,10,U,F,3,,Y,L2F,L,A,U,4
251,IMP,FL,33055,21,H,M,2,,,L2F,L,A,S,3
252,MBC,IL,62056,41,H,F,2,,,L3E,L,D,T,3
253,AMB,OTHER,85326,21,H,F,2,,,L1F,L,A,S,3
254,FRC,FL,34608,37,H,F,2,,,L1F,L,A,T,2
255,HAN,CA,95843,24,U,F,3,,,L3G,L,B,C,1
256,HCC,TX,75019,24,H,M,3,,,L3F,L,A,C,1
257,L02,OTHER,71483,47,H,F,2,,,L1F,L,D,R,2
258,MTR,MI,49120,36,H,M,2,,,L2F,L,C,T,2
259,SYN,OTHER,73036,36,H,M,3,,,L4D,L,B,T,2
260,AML,IN,47441,36,U,F,3,12,,L3F,L,D,T,2
261,AML,CA,95993,27,U,M,3,,,L2E,L,C,C,2
262,SPN,OTHER,34002,10,U,,3,,,L2G,L,A,U,4
263,NAS,GA,30047,14,H,M,3,,Y,L1F,L,A,S,1
264,LIS,OTHER,55117,15,U,M,2,,,L1F,L,A,S,1
265,CWR,GA,30260,25,H,F,3,,,L2F,L,A,C,2
266,BHG,MI,49601,39,H,M,3,,,L1F,L,D,T,2
267,ARG,CA,95833,15,U,,3,,,L1F,L,B,S,1
268,HOW,WI,54162,49,U,M,3,,,L1E,L,D,R,2
269,LIS,OTHER,35773,49,H,F,2,,,L4F,L,D,R,2
270,GDA,MI,49228,45,H,M,3,,,L3E,L,C,R,2
271,FOR,MI,49707,39,H,M,2,,,L1F,L,D,T,2
272,BHG,GA,30033,23,H,M,3,,,L2E,L,A,C,1
273,DRK,TX,79936,3,U,M,1,,Y,L4D,L,B,U,1
274,BHG,MO,64080,43,H,M,3,,,L2F,L,B,R,2
275,LKE,IL,60014,35,H,U,2,,,L1F,L,A,T,1
276,ANT,GA,30060,27,H,F,1,,,L1F,L,A,C,2
277,DBL,NC,28056,27,H,M,3,,,L1G,L,B,C,2
278,GPS,TX,77536,18,H,F,3,,Y,L1G,L,A,S,2
279,AML,IL,61744,49,U,F,2,,,L4G,L,C,R,2
280,MBC,CA,93705,5,H,F,3,,,L1F,L,B,U,2
281,SYN,OTHER,66061,46,H,F,2,,,L1F,L,B,R,2
282,HOS,OTHER,70506,27,H,M,2,,,L4D,L,C,C,2
283,HOS,CA,94526,24,H,F,3,,,L2F,L,A,C,1
284,ANT,MI,48214,10,U,F,3,,,L2F,L,A,U,4
285,L04,NC,27536,40,H,F,3,,,L1F,L,D,T,2
286,L01,CA,94044,15,U,M,2,,,L1F,L,A,S,1
287,SYN,OTHER,85208,41,H,M,2,12,,L2F,L,A,T,3
288,L16,WI,53212,10,H,F,2,,,L3E,L,B,U,4
289,IMP,GA,30044,24,H,J,1,,,L4F,L,A,C,1
290,L21,IL,60477,20,H,M,2,,Y,L1G,L,A,S,2
291,SYN,NC,28025-,17,H,F,3,,,L1G,L,B,S,2
292,ENQ,IL,60620,8,H,M,2,,,L2G,L,A,U,3
293,HOS,CA,95949,35,H,F,2,,,L1F,L,C,T,1
294,AML,OTHER,39530,30,H,M,3,,Y,L1F,L,C,C,3
295,AVN,FL,32504,25,U,F,3,,,L1F,L,B,C,2
296,IMP,TX,75208,30,H,F,2,,Y,L2F,L,A,C,3
297,MBC,OTHER,87110,4,H,F,3,,,L2E,L,B,U,2
298,L04,OTHER,86442,28,H,F,3,,,L2F,L,C,C,2
299,HAN,NC,27704,26,H,F,3,,,L1F,L,B,C,2
300,FRC,WI,54911,27,H,F,3,,,L1F,L,B,C,2
301,L01,MI,48054,37,U,F,1,12,,L1F,L,A,T,2
302,K3M,CA,91786,2,U,F,1,,Y,L1F,L,A,U,1
303,ARG,TX,79109,24,H,M,3,,,L1F,L,C,C,1
304,L01,IL,61821,24,H,F,3,,,L1F,L,C,C,1
305,APP,CA,94109,1,U,F,3,,,L2E,L,A,U,1
306,LHJ,OTHER,37311,30,H,F,3,,,L1F,L,C,C,3
307,PGR,WA,98548,46,U,M,3,,,L2G,L,D,R,2
308,SSS,FL,33844,37,H,M,2,,,L4F,L,B,T,2
309,ADD,FL,33428,29,U,F,3,,,L2F,L,B,C,2
310,RMG,MO,64112,3,U,,3,,,L1G,L,B,U,1
311,IML,NC,27263,40,U,M,3,,,L1E,L,B,R,2
312,BRY,TX,75006,14,H,F,3,,,L1G,L,A,S,1
313,DRK,WI,53910,53,H,F,2,,,L1F,L,D,R,3
314,SMZ,OTHER,97219-,24,U,F,1,,,L2F,L,B,C,1
315,FRC,MI,48035,16,H,M,3,,Y,L1F,L,A,S,2
316,SYN,WA,98125-,11,U,M,3,,,L1F,L,A,S,1
317,BHG,TX,76012,22,H,M,2,,,L2E,L,A,C,1
318,DNA,OTHER,37079,43,U,M,2,,,L2E,L,D,R,2
319,CNT,OTHER,51354,53,U,F,3,,,L1G,L,D,R,3
320,AMB,CA,92220,37,U,F,3,,,L1E,L,A,T,2
321,HHL,OTHER,96744,12,H,M,2,,,L2F,L,B,S,1
322,ARG,TX,79606,24,H,M,3,,,L3F,L,C,C,1
323,SUN,MI,48433,40,U,F,2,12,,L2F,L,B,T,2
324,L01,MI,49442,21,H,M,3,,,L2F,L,C,S,3
325,AGR,IL,60172,12,H,M,3,,,L1G,L,A,S,1
326,DCD,OTHER,56326,53,U,F,3,,,L4D,L,D,R,3
327,ASC,CA,95661,12,H,M,3,,,L1F,L,B,S,1
328,DNA,TX,75672,41,U,F,2,12,,L2E,L,C,T,3
329,MBC,NC,27587,24,H,M,3,,,L2F,L,B,C,1
330,STR,WI,53154,18,H,F,1,,,L1F,L,B,S,2
331,ASC,NC,27870,36,U,M,2,,,L3F,L,C,T,2
332,BOA,OTHER,38501,36,H,M,3,,,L1F,L,D,T,2
333,WKB,OTHER,37091,41,H,F,3,,,L1E,L,D,T,3
334,HOS,CA,95820,10,H,F,1,,,L2E,L,B,U,4
335,AML,OTHER,89448,42,U,M,3,,,L1F,L,D,R,1
336,AGR,FL,33703,12,U,F,2,,,L4D,L,A,S,1
337,COK,OTHER,38901,41,H,F,3,,,L4D,L,D,T,3
338,HCC,MI,48141,17,H,M,2,,,L3G,L,A,S,2
339,,OTHER,96745,42,H,F,2,12,,L1F,L,C,R,1
340,L02,OTHER,37379,36,U,F,1,,,L3E,L,B,T,2
341,AML,IL,60631-,10,U,M,3,,,L1E,L,A,U,4
342,FRC,IL,62002,28,H,M,3,,,L4G,L,A,C,2
343,AGR,WI,53222,13,U,F,3,,,L1F,L,B,S,1
344,BHG,WA,98360,44,H,F,2,,,L3E,L,A,R,2
345,L21,CA,94040,13,H,M,3,,,L2F,L,A,S,1
346,AGR,IL,60443,16,H,M,2,,,L1G,L,A,S,2
347,MCC,OTHER,38401,44,U,F,3,,,L1G,L,C,R,2
348,AMB,OTHER,37087,36,H,M,3,,Y,L1F,L,B,T,2
349,AMB,WI,53719,11,U,M,3,,,L2G,L,B,S,1
350,MCC,OTHER,97504,30,U,M,3,,,L4F,L,C,C,3
351,BEL,NC,27215,32,H,F,3,,,L2E,L,C,C,3
352,FRC,WI,53550,49,U,M,3,,,L2F,L,D,R,2
353,HOS,FL,33129,28,U,F,3,,,L4D,L,A,C,2
354,SGI,IL,60047,12,U,,3,,,L4F,L,A,S,1
355,IMP,MI,48230,2,H,F,3,,,L1F,L,A,U,1
356,AML,CA,95376,24,H,M,2,,,L1G,L,B,C,1
357,OMH,MI,48161,27,U,M,1,,,L4D,L,A,C,2
358,LIS,CA,92543,33,H,M,3,,,L1E,L,A,C,3
359,SSS,FL,34481,29,H,M,3,,,L1F,L,C,C,2
360,TVF,CA,92625,13,H,M,3,,Y,L1F,L,A,S,1
361,MBC,TX,77356,34,H,M,3,,,L2F,L,A,T,1
362,DCD,OTHER,37642,43,H,M,3,,,L1F,L,B,R,2
363,TRN,IL,60617,10,U,F,2,,,L2F,L,A,U,4
364,MBC,OTHER,37643,36,U,M,1,,Y,L1F,L,B,T,2
365,AVN,OTHER,80537-,24,H,F,2,,,L1F,L,C,C,1
366,FRC,CA,92084,29,H,M,3,0,,L1G,L,A,C,2
367,BHG,OTHER,4364,36,U,F,3,,,L1G,L,C,T,2
368,HAN,OTHER,35117,51,H,F,3,,,L1G,L,B,R,3
369,AML,CA,94965,35,U,F,3,,,L1E,L,A,T,1
370,SYN,OTHER,97367,28,U,,3,,,L1F,L,D,C,2
371,LIS,TX,77511,40,H,M,1,12,,L1G,L,A,T,2
372,RPH,NC,28784,49,U,F,3,,,L1G,L,C,R,2
373,PCL,FL,33162,8,U,M,3,,,L2F,L,A,U,3
374,ASP,IL,60626,3,U,F,2,,,L1F,L,A,U,1
375,SYN,OTHER,55918-,45,U,U,3,,,L3F,L,D,R,2
376,HRB,OTHER,57006,31,U,M,3,,,L1G,L,D,C,3
377,AML,OTHER,58102,26,U,F,3,,,L3D,L,C,C,2
378,OVS,IL,61010,46,H,M,3,,,L2F,L,D,R,2
379,WFD,IN,47714,27,H,M,3,,Y,L2F,L,B,C,2
380,PCL,OTHER,85715,12,H,M,3,,Y,L4D,L,B,S,1
381,AML,MI,49068,44,H,M,3,,,L2F,L,C,R,2
382,STV,CA,93535,30,H,F,2,,,L3E,L,A,C,3
383,ALZ,OTHER,80465,35,U,F,3,,,L4E,L,B,T,1
384,FRC,CA,95409,26,U,F,3,,,L4D,L,A,C,2
385,AGR,IN,47905,27,U,F,3,,,L2F,L,C,C,2
386,LKE,WI,53151,12,U,F,3,,,L2E,L,B,S,1
387,TX2,CA,92336,18,H,M,2,,,L1G,L,A,S,2
388,SYN,OTHER,80501,35,H,M,2,,,L3E,L,B,T,1
389,,CA,94040-,15,H,M,3,,,L1G,L,A,S,1
390,HAN,OTHER,72103,39,H,F,3,,,L3E,L,B,T,2
391,STR,NC,27970,50,U,F,1,,,L1F,L,D,R,3
392,MBC,OTHER,72032,45,H,F,2,12,,L4F,L,B,R,2
393,LIS,OTHER,36907,50,H,F,2,,,L4D,L,D,R,3
394,L25,FL,33437-,17,U,M,3,,,L4E,L,B,S,2
395,NWF,TX,77657,40,H,F,3,,,L1G,L,B,R,2
396,KEN,OTHER,85023,7,U,F,2,,Y,L1F,L,A,U,2
397,NSN,OTHER,88352,43,U,M,3,,Y,L4E,L,D,R,2
