OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
IMP,TX,77381,35.0,H,F,3.0,,,L2E,L,A,T,1
AVN,IL,62249,40.0,U,F,3.0,,,L3E,L,A,T,2
SYN,TX,77546,35.0,U,M,0,,,L3D,L,A,T,1
RMG,MO,63031,8.0,H,M,3.0,,,L2F,L,A,U,3
DNA,NC,27106,25.0,U,F,3.0,,,L1G,L,B,C,2
L04,FL,33143,15.0,U,F,3.0,,,L2F,L,A,S,1
AML,OTHER,97008,40.0,U,F,0,,,L2F,L,B,R,2
,OTHER,97708,42.0,U,M,0,,,L1F,L,C,R,1
AIR,TX,78748,12.0,H,M,3.0,,,L1G,L,B,S,1
DUR,CA,90274,11.0,U,F,3.0,,,L2G,L,A,S,1
LHJ,OTHER,55112,17.0,H,F,2.0,,,L3F,L,A,S,2
WKB,OTHER,55066-,36.0,H,F,3.0,,,L1G,L,D,T,2
AGR,IL,61604,28.0,U,F,0,,,L3G,L,B,C,2
STL,MI,49506,2.0,U,,0,,,L2E,L,B,U,1
DCD,WA,98006,14.0,H,M,3.0,,,L1F,L,A,S,1
AGR,FL,33332,35.0,H,M,3.0,,,L1F,L,A,T,1
IMA,WI,53221,18.0,H,F,3.0,,,L3F,L,B,S,2
DRK,OTHER,52402,24.0,H,F,3.0,,Y,L3D,L,C,C,1
GRI,OTHER,36322,40.0,U,F,2.0,,Y,L1E,L,C,R,2
L01,IN,46350,34.0,H,M,2.0,,Y,L1F,L,C,T,1
ACS,WA,98116,5.0,U,M,0,,,L2F,L,A,U,2
ALZ,TX,75606,31.0,H,M,2.0,,,L1F,L,C,C,3
DNA,IL,61273,44.0,U,F,2.0,12.0,,L2F,L,B,R,2
DRK,NC,27703,32.0,H,F,3.0,,,L1F,L,B,C,3
NEX,NC,27105,27.0,H,F,2.0,,,L3D,L,B,C,2
IMP,FL,33056,18.0,H,F,3.0,,,L1E,L,A,S,2
AGR,IL,62959,36.0,H,M,2.0,,,L1F,L,C,T,2
,CA,94014,46.0,U,F,0,,Y,L2G,L,A,R,2
HAR,CA,92801,3.0,U,F,2.0,,,L4E,L,A,U,1
SGI,OTHER,36005,50.0,H,F,2.0,,,L1F,L,D,R,3
MBC,TX,75217,18.0,U,M,0,,,L2F,L,A,S,2
BSH,IN,46987,44.0,H,F,2.0,,Y,L1F,L,C,R,2
BOA,TX,77515,40.0,H,M,3.0,,Y,L1F,L,A,T,2
NAD,GA,31322,44.0,H,F,2.0,,,L1F,L,B,R,2
HOS,OTHER,73456,53.0,H,M,2.0,,,L2F,L,D,R,3
GRI,TX,76028,40.0,H,F,3.0,,Y,L1F,L,A,T,2
HHL,GA,31816,46.0,H,M,3.0,,,L1F,L,D,R,2
GRT,NC,28105,17.0,H,F,3.0,,,L4D,L,B,S,2
L01,FL,34231,28.0,U,M,3.0,,,L2G,L,B,C,2
GRI,IL,62022,43.0,U,,0,,,L1E,L,A,R,2
L02,CA,92868,7.0,U,F,0,,,L1G,L,A,U,2
APP,IN,47635,45.0,U,M,2.0,,,L1G,L,D,R,2
IMP,CA,95966,37.0,H,F,2.0,,,L3D,L,C,T,2
DAC,OTHER,29020,40.0,H,C,3.0,,Y,L1G,L,D,T,2
NWN,OTHER,40222,14.0,U,F,2.0,,,L1F,L,B,S,1
BRY,NC,28713,53.0,U,F,0,,Y,L1F,L,D,R,3
APP,CA,92163,10.0,H,M,2.0,12.0,,L2E,L,A,U,4
BHG,MI,48302,24.0,H,F,3.0,,,L3F,L,A,C,1
AIR,OTHER,21045,38.0,U,F,0,,,L1G,L,A,T,2
IMP,IL,60406,21.0,H,M,2.0,,,L3E,L,A,S,3
BHG,CA,92625,13.0,H,F,2.0,,,L2F,L,A,S,1
AMB,FL,33319,9.0,H,F,3.0,,,L2F,L,A,U,3
USB,WI,53562,11.0,H,M,1.0,,,L1G,L,B,S,1
L01,FL,34222,28.0,U,M,1.0,,,L1F,L,B,C,2
NSH,TX,75082,11.0,H,F,3.0,,,L3E,L,A,S,1
NPT,OTHER,57783-,46.0,U,M,2.0,,,L1F,L,D,R,2
DNA,CA,92805,7.0,U,F,0,,,L1F,L,A,U,2
L16,GA,30738,43.0,U,F,1.0,,Y,L1F,L,B,R,2
L01,CA,90703,3.0,H,F,3.0,,,L2F,L,A,U,1
ESN,OTHER,42001,28.0,H,M,1.0,,Y,L1F,L,C,C,2
RMG,FL,33433,29.0,H,F,3.0,,,L1G,L,B,C,2
IMP,TX,79602,30.0,H,F,3.0,,,L1G,L,C,C,3
BOA,OTHER,89504,25.0,U,M,0,,,L1G,L,B,C,2
PV3,NC,28644,45.0,H,F,2.0,,Y,L1F,L,D,R,2
CWR,OTHER,40214,31.0,H,M,3.0,,,L4D,L,B,C,3
L01,GA,30032,18.0,H,M,3.0,,,L3E,L,A,S,2
AML,OTHER,97470,27.0,H,M,3.0,,,L4E,L,C,C,2
GRI,OTHER,68061-,45.0,U,F,0,,,L1E,L,D,R,2
LOG,OTHER,85365,36.0,H,F,3.0,,,L1F,L,C,T,2
ASC,MO,64841,40.0,U,M,0,,,L4D,L,C,T,2
DNA,FL,34239,29.0,H,F,3.0,12.0,,L1E,L,B,C,2
AGS,CA,90045,13.0,U,M,0,,,L1F,L,A,S,1
BHG,FL,33736,4.0,U,F,2.0,12.0,,L2F,L,A,U,2
ARG,OTHER,23005-,12.0,U,F,2.0,,,L3E,L,B,S,1
DON,CA,90220,10.0,H,F,3.0,,,L2G,L,A,U,4
AMB,OTHER,29374,44.0,U,M,2.0,,,L2E,L,B,R,2
ASC,TX,75043,3.0,H,F,3.0,,,L1G,L,A,U,1
VIK,CA,90024,22.0,U,F,0,,,L2G,L,A,C,1
AGR,OTHER,70435,41.0,U,F,0,,,L4D,L,B,T,3
MBC,FL,32073,18.0,H,M,3.0,12.0,,L1G,L,B,S,2
ARB,OTHER,58033,51.0,U,F,2.0,,,L1F,L,D,R,3
ESN,CA,92545,13.0,H,M,3.0,,,L1G,L,A,S,1
BHG,TX,79762,24.0,U,U,1.0,,,L1E,L,C,C,1
HHH,TX,76252,49.0,H,M,3.0,12.0,,L1F,L,D,R,2
ANT,NC,28379,36.0,H,F,3.0,,,L1F,L,D,T,2
STL,CA,94901,24.0,H,M,2.0,,,L2G,L,A,C,1
L01,OTHER,89014,12.0,H,F,3.0,,Y,L1F,L,B,S,1
SYN,OTHER,36608,13.0,H,M,3.0,,,L1G,L,B,S,1
MBC,OTHER,70711,43.0,H,M,3.0,,,L3G,L,B,R,2
WRG,OTHER,73159,24.0,H,F,3.0,,,L3E,L,B,C,1
,TX,77079,13.0,H,M,3.0,12.0,,L1G,L,A,S,1
PBL,OTHER,99508,18.0,H,F,3.0,,,L4E,L,C,S,2
SYN,MO,65473-,39.0,U,M,3.0,,,L4E,L,D,T,2
L01,OTHER,35620,43.0,H,M,3.0,,,L1F,L,D,R,2
DNA,FL,34990,23.0,U,F,0,,,L4D,L,B,C,1
L01,FL,34691,33.0,H,M,2.0,,,L1F,L,A,C,3
OMH,CA,92056,24.0,H,M,3.0,12.0,,L2E,L,A,C,1
CRG,FL,34761-,49.0,U,F,0,,,L2G,L,B,R,2
L04,FL,32174,40.0,U,F,2.0,,,L2F,L,B,T,2
MBC,OTHER,55411,8.0,H,F,3.0,,,L1F,L,A,U,3
SGI,OTHER,70122,8.0,U,M,1.0,,Y,L3E,L,B,U,3
L02,OTHER,67218,31.0,H,F,2.0,,,L1G,L,B,C,3
UBA,FL,34748,37.0,H,F,2.0,,,L1F,L,C,T,2
ASH,IL,60646,13.0,H,F,3.0,,,L3E,L,A,S,1
DRK,OTHER,85284,14.0,H,F,2.0,,,L1F,L,A,S,1
COK,IL,60463,13.0,H,F,2.0,12.0,,L1G,L,A,S,1
ESN,IL,61554,30.0,H,F,3.0,,Y,L1G,L,B,C,3
RPH,MI,48446,40.0,H,F,3.0,,,L1F,L,A,T,2
SYN,CA,91030,3.0,U,F,2.0,,,L1F,L,A,U,1
ESN,MI,49445,24.0,U,M,3.0,,,L4F,L,C,C,1
STV,IL,61008,36.0,U,F,3.0,,,L2G,L,B,T,2
L01,TX,78748,12.0,H,M,3.0,,,L2G,L,B,S,1
ARG,MI,48455,44.0,H,M,3.0,,,L1F,L,A,R,2
NAS,OTHER,99709,40.0,H,F,2.0,,,L1F,L,C,T,2
SSS,WA,98292,40.0,H,M,2.0,12.0,,L4E,L,A,T,2
LEO,IL,60625-,7.0,H,F,3.0,,,L1F,L,A,U,2
KNG,FL,34208,30.0,H,F,3.0,,,L3F,L,B,C,3
AMB,MI,48310,17.0,U,F,3.0,,,L1G,L,A,S,2
HCC,MO,65233,36.0,H,F,2.0,,,L1F,L,D,T,2
APP,IN,46064,49.0,U,M,0,,,L1F,L,C,R,2
KIP,CA,95628,14.0,H,M,2.0,,Y,L1G,L,B,S,1
ASS,FL,32176,28.0,H,F,3.0,,,L4D,L,B,C,2
GDA,IN,46706,44.0,U,M,0,,,L3E,L,B,R,2
GRT,OTHER,97071,45.0,U,F,1.0,,,L1F,L,B,R,2
MBC,TX,78040,10.0,H,F,1.0,12.0,Y,L3E,L,C,U,4
CWR,CA,91403,15.0,U,F,0,,,L1G,L,A,S,1
LHJ,TX,77028,32.0,H,F,3.0,,,L1G,L,A,C,3
BHG,OTHER,72761,36.0,U,M,3.0,,,L1G,L,C,T,2
BHG,OTHER,88001,27.0,H,M,3.0,,,L1F,L,C,C,2
L01,FL,32134,53.0,U,M,0,,,L3E,L,C,R,3
STR,OTHER,36915,51.0,U,M,3.0,,,L1F,L,D,R,3
L01,CA,95926,24.0,H,F,3.0,,,L1F,L,C,C,1
HHH,MI,49854,36.0,U,,0,,,L3G,L,D,T,2
DNA,OTHER,37217,12.0,H,M,3.0,,,L4E,L,B,S,1
CAW,OTHER,73505,30.0,U,M,2.0,,,L1F,L,C,C,3
MBC,OTHER,59801,31.0,H,M,3.0,,,L2E,L,C,C,3
RPH,NC,27609,22.0,U,,0,,,L4E,L,B,C,1
GRI,OTHER,29604,31.0,U,M,0,,,L3E,L,B,C,3
DNA,FL,32801,22.0,U,F,2.0,,,L2F,L,B,C,1
GET,OTHER,70471,40.0,U,M,0,,,L1F,L,B,T,2
HOS,GA,30905,39.0,U,F,1.0,,,L1F,L,B,T,2
ASC,CA,95817-,46.0,U,F,0,,,L4E,L,B,R,2
CWR,GA,31206,27.0,H,M,3.0,,,L1F,L,B,C,2
USB,MI,48911,32.0,U,F,2.0,,,L2F,L,B,C,3
USB,FL,32789,27.0,U,F,3.0,,,L4D,L,B,C,2
BOA,OTHER,41018,16.0,H,F,2.0,,,L1G,L,B,S,2
HAN,TX,75065,40.0,U,F,2.0,12.0,,L1F,L,A,T,2
DEL,CA,94514,35.0,H,F,3.0,,,L1G,L,A,T,1
L01,MI,49028,43.0,H,M,3.0,12.0,,L2F,L,D,R,2
AGS,CA,94512,44.0,H,F,3.0,,,L1F,L,A,R,2
HOS,CA,90044,10.0,U,F,2.0,,,L1F,L,A,U,4
HOS,FL,34736,9.0,U,F,0,,,L1F,L,C,U,3
IMA,WA,98198,27.0,H,F,3.0,,,L1F,L,A,C,2
FRC,OTHER,38930,41.0,H,F,2.0,,,L2F,L,D,T,3
FLD,NC,27948,40.0,H,F,3.0,,,L3E,L,D,T,2
HOS,OTHER,96326,10.0,U,J,0,,,L2F,L,U,U,4
AGS,OTHER,67122,51.0,U,M,0,,,L2F,L,D,R,3
CRG,CA,92117,20.0,H,F,3.0,12.0,Y,L3G,L,A,S,2
BHG,FL,33844,46.0,U,F,0,,,L1E,L,B,R,2
L25,OTHER,55804,51.0,U,M,0,,,L1G,L,B,R,3
SYN,CA,94131,1.0,H,F,3.0,,,L2F,L,A,U,1
HHL,OTHER,80915,18.0,U,M,2.0,,Y,L1G,L,B,S,2
MER,NC,28560,38.0,U,F,2.0,,,L4D,L,C,T,2
LEO,CA,92592,35.0,H,F,3.0,,,L1F,L,A,T,1
SYC,OTHER,59643,49.0,U,,0,,,L4E,L,D,R,2
SYN,TX,75232,16.0,H,F,3.0,,,L1F,L,A,S,2
HAM,FL,32776,46.0,H,F,3.0,,,L1F,L,C,R,2
BOA,CA,93312,40.0,U,M,0,,,L1G,L,B,T,2
PSM,GA,30506,15.0,U,M,3.0,,,L1G,L,C,S,1
HIL,MI,48235,10.0,H,F,2.0,,,L3D,L,A,U,4
SPN,OTHER,70001,5.0,H,M,3.0,,,L3E,L,B,U,2
L02,WA,98205,40.0,H,M,3.0,,Y,L3E,L,A,T,2
SYN,GA,30542,40.0,H,M,2.0,,Y,L3E,L,C,T,2
SSS,MI,48446,38.0,H,F,3.0,,,L4E,L,A,T,2
AIR,WA,98513,39.0,H,M,2.0,,,L2F,L,C,T,2
IMP,OTHER,85282,23.0,U,F,0,,,L2F,L,A,C,1
DUR,CA,92020,12.0,H,F,3.0,,,L1G,L,A,S,1
DNB,FL,33838,37.0,U,M,2.0,,,L3F,L,B,T,2
HCC,WA,98902,24.0,H,M,3.0,,,L2F,L,C,C,1
STR,TX,77573,24.0,H,M,3.0,,Y,L3G,L,A,C,1
BRY,CA,92113,10.0,H,F,3.0,,,L2G,L,A,U,4
DNB,CA,93550,30.0,H,M,3.0,,,L1F,L,A,C,3
GPS,OTHER,87107,11.0,H,M,2.0,,Y,L1F,L,B,S,1
IMP,CA,95136,2.0,H,M,2.0,,,L1F,L,A,U,1
ASP,CA,92256,46.0,H,F,2.0,,,L1F,L,A,R,2
ASC,FL,33308,23.0,H,M,3.0,,,L3E,L,A,C,1
IMP,IN,47408,24.0,U,M,0,,,L1F,L,C,C,1
HOS,NC,27406,32.0,U,M,3.0,,,L2F,L,B,C,3
CWR,NC,28609,51.0,U,F,0,,,L1F,L,B,R,3
CWR,OTHER,36037,50.0,U,U,2.0,,,L3G,L,D,R,3
INN,FL,32541,42.0,U,M,1.0,,,L3E,L,D,R,1
ABW,OTHER,72908,11.0,U,M,0,,,L4D,L,C,S,1
HOS,CA,93311,40.0,H,F,3.0,,,L2F,L,B,T,2
CFI,CA,94536,12.0,H,F,2.0,,Y,L1F,L,A,S,1
JFY,IL,62901,35.0,H,F,3.0,,,L1E,L,C,T,1
BHG,IL,60452,18.0,U,,0,,,L1F,L,A,S,2
AGS,CA,90302-,3.0,H,M,3.0,,,L1F,L,A,U,1
LAK,OTHER,59454,43.0,U,M,3.0,,,L3F,L,D,R,2
DNA,FL,33827,40.0,H,F,2.0,12.0,,L3F,L,B,R,2
LVT,FL,34243,12.0,H,M,3.0,12.0,,L2G,L,B,S,1
L01,TX,78240,12.0,H,F,3.0,,,L1F,L,B,S,1
BHG,GA,30084,12.0,H,F,2.0,,,L1F,L,A,S,1
AML,FL,33066,29.0,H,F,3.0,,,L2E,L,A,C,2
MBC,CA,90802,4.0,U,F,1.0,,,L3E,L,A,U,2
PBL,NC,27514,22.0,H,F,3.0,,,L1G,L,B,C,1
FRC,OTHER,55106,5.0,H,F,3.0,,,L4E,L,A,U,2
L01,CA,95123,3.0,H,M,2.0,,Y,L3F,L,A,U,1
DUR,MO,63301,15.0,H,M,2.0,,,L3G,L,A,S,1
PV3,WI,53142,18.0,H,F,3.0,,Y,L2E,L,A,S,2
DRK,MO,63126,12.0,H,M,3.0,,Y,L2E,L,A,S,1
AMB,TX,75158,49.0,H,F,2.0,,,L3E,L,A,R,2
LHJ,OTHER,67801,39.0,U,M,2.0,,,L4E,L,D,T,2
RED,FL,34990,34.0,H,F,3.0,,,L1F,L,B,T,1
PV3,OTHER,67124,46.0,U,M,0,,,L2F,L,D,R,2
TIM,CA,95212,35.0,H,M,3.0,,Y,L2F,L,B,T,1
IMP,MO,64093,40.0,U,M,0,,,L3D,L,D,T,2
MON,CA,92683,14.0,H,M,3.0,,,L2F,L,A,S,1
SGI,OTHER,74501,37.0,H,F,3.0,,Y,L1F,L,D,T,2
L01,OTHER,55345,17.0,U,,0,,,L2F,L,A,S,2
LHJ,CA,92679,35.0,H,M,2.0,,Y,L2G,L,A,T,1
MM3,CA,90638,13.0,H,M,3.0,,,L3E,L,A,S,1
FAR,OTHER,97801,38.0,U,M,3.0,,,L2F,L,C,T,2
HOS,CA,90003,10.0,U,F,0,,Y,L2F,L,A,U,4
IMP,FL,33055,21.0,H,M,2.0,,,L2F,L,A,S,3
MBC,IL,62056,41.0,H,F,2.0,,,L3E,L,D,T,3
AMB,OTHER,85326,21.0,H,F,2.0,,,L1F,L,A,S,3
FRC,FL,34608,37.0,H,F,2.0,,,L1F,L,A,T,2
HAN,CA,95843,24.0,U,F,0,,,L3G,L,B,C,1
HCC,TX,75019,24.0,H,M,3.0,,,L3F,L,A,C,1
L02,OTHER,71483,47.0,H,F,2.0,,,L1F,L,D,R,2
MTR,MI,49120,36.0,H,M,2.0,,,L2F,L,C,T,2
SYN,OTHER,73036,36.0,H,M,3.0,,,L4D,L,B,T,2
AML,IN,47441,36.0,U,F,3.0,12.0,,L3F,L,D,T,2
AML,CA,95993,27.0,U,M,0,,,L2E,L,C,C,2
SPN,OTHER,34002,10.0,U,,0,,,L2G,L,U,U,4
NAS,GA,30047,14.0,H,M,3.0,,Y,L1F,L,A,S,1
LIS,OTHER,55117,15.0,U,M,2.0,,,L1F,L,A,S,1
CWR,GA,30260,25.0,H,F,3.0,,,L2F,L,A,C,2
BHG,MI,49601,39.0,H,M,3.0,,,L1F,L,D,T,2
ARG,CA,95833,15.0,U,,0,,,L1F,L,B,S,1
HOW,WI,54162,49.0,U,M,3.0,,,L1E,L,D,R,2
LIS,OTHER,35773,49.0,H,F,2.0,,,L4F,L,D,R,2
GDA,MI,49228,45.0,H,M,3.0,,,L3E,L,C,R,2
FOR,MI,49707,39.0,H,M,2.0,,,L1F,L,D,T,2
BHG,GA,30033,23.0,H,M,3.0,,,L2E,L,A,C,1
DRK,TX,79936,3.0,U,M,1.0,,Y,L4D,L,B,U,1
BHG,MO,64080,43.0,H,M,3.0,,,L2F,L,B,R,2
LKE,IL,60014,35.0,H,U,2.0,,,L1F,L,A,T,1
ANT,GA,30060,27.0,H,F,1.0,,,L1F,L,A,C,2
DBL,NC,28056,27.0,H,M,3.0,,,L1G,L,B,C,2
GPS,TX,77536,18.0,H,F,3.0,,Y,L1G,L,A,S,2
AML,IL,61744,49.0,U,F,2.0,,,L4G,L,C,R,2
MBC,CA,93705,5.0,H,F,3.0,,,L1F,L,B,U,2
SYN,OTHER,66061,46.0,H,F,2.0,,,L1F,L,B,R,2
HOS,OTHER,70506,27.0,H,M,2.0,,,L4D,L,C,C,2
HOS,CA,94526,24.0,H,F,3.0,,,L2F,L,A,C,1
ANT,MI,48214,10.0,U,F,3.0,,,L2F,L,A,U,4
L04,NC,27536,40.0,H,F,3.0,,,L1F,L,D,T,2
L01,CA,94044,15.0,U,M,2.0,,,L1F,L,A,S,1
SYN,OTHER,85208,41.0,H,M,2.0,12.0,,L2F,L,A,T,3
L16,WI,53212,10.0,H,F,2.0,,,L3E,L,B,U,4
IMP,GA,30044,24.0,H,J,1.0,,,L4F,L,A,C,1
L21,IL,60477,20.0,H,M,2.0,,Y,L1G,L,A,S,2
SYN,NC,28025-,17.0,H,F,3.0,,,L1G,L,B,S,2
ENQ,IL,60620,8.0,H,M,2.0,,,L2G,L,A,U,3
HOS,CA,95949,35.0,H,F,2.0,,,L1F,L,C,T,1
AML,OTHER,39530,30.0,H,M,3.0,,Y,L1F,L,C,C,3
AVN,FL,32504,25.0,U,F,0,,,L1F,L,B,C,2
IMP,TX,75208,30.0,H,F,2.0,,Y,L2F,L,A,C,3
MBC,OTHER,87110,4.0,H,F,3.0,,,L2E,L,B,U,2
L04,OTHER,86442,28.0,H,F,3.0,,,L2F,L,C,C,2
HAN,NC,27704,26.0,H,F,3.0,,,L1F,L,B,C,2
FRC,WI,54911,27.0,H,F,3.0,,,L1F,L,B,C,2
L01,MI,48054,37.0,U,F,1.0,12.0,,L1F,L,A,T,2
K3M,CA,91786,2.0,U,F,1.0,,Y,L1F,L,A,U,1
ARG,TX,79109,24.0,H,M,3.0,,,L1F,L,C,C,1
L01,IL,61821,24.0,H,F,3.0,,,L1F,L,C,C,1
APP,CA,94109,1.0,U,F,0,,,L2E,L,A,U,1
LHJ,OTHER,37311,30.0,H,F,3.0,,,L1F,L,C,C,3
PGR,WA,98548,46.0,U,M,0,,,L2G,L,D,R,2
SSS,FL,33844,37.0,H,M,2.0,,,L4F,L,B,T,2
ADD,FL,33428,29.0,U,F,0,,,L2F,L,B,C,2
RMG,MO,64112,3.0,U,,0,,,L1G,L,B,U,1
IML,NC,27263,40.0,U,M,3.0,,,L1E,L,B,R,2
BRY,TX,75006,14.0,H,F,3.0,,,L1G,L,A,S,1
DRK,WI,53910,53.0,H,F,2.0,,,L1F,L,D,R,3
SMZ,OTHER,97219-,24.0,U,F,1.0,,,L2F,L,B,C,1
FRC,MI,48035,16.0,H,M,3.0,,Y,L1F,L,A,S,2
SYN,WA,98125-,11.0,U,M,3.0,,,L1F,L,A,S,1
BHG,TX,76012,22.0,H,M,2.0,,,L2E,L,A,C,1
DNA,OTHER,37079,43.0,U,M,2.0,,,L2E,L,D,R,2
CNT,OTHER,51354,53.0,U,F,0,,,L1G,L,D,R,3
AMB,CA,92220,37.0,U,F,0,,,L1E,L,A,T,2
HHL,OTHER,96744,12.0,H,M,2.0,,,L2F,L,B,S,1
ARG,TX,79606,24.0,H,M,3.0,,,L3F,L,C,C,1
SUN,MI,48433,40.0,U,F,2.0,12.0,,L2F,L,B,T,2
L01,MI,49442,21.0,H,M,3.0,,,L2F,L,C,S,3
AGR,IL,60172,12.0,H,M,3.0,,,L1G,L,A,S,1
DCD,OTHER,56326,53.0,U,F,0,,,L4D,L,D,R,3
ASC,CA,95661,12.0,H,M,3.0,,,L1F,L,B,S,1
DNA,TX,75672,41.0,U,F,2.0,12.0,,L2E,L,C,T,3
MBC,NC,27587,24.0,H,M,3.0,,,L2F,L,B,C,1
STR,WI,53154,18.0,H,F,1.0,,,L1F,L,B,S,2
ASC,NC,27870,36.0,U,M,2.0,,,L3F,L,C,T,2
BOA,OTHER,38501,36.0,H,M,3.0,,,L1F,L,D,T,2
WKB,OTHER,37091,41.0,H,F,3.0,,,L1E,L,D,T,3
HOS,CA,95820,10.0,H,F,1.0,,,L2E,L,B,U,4
AML,OTHER,89448,42.0,U,M,0,,,L1F,L,D,R,1
AGR,FL,33703,12.0,U,F,2.0,,,L4D,L,A,S,1
COK,OTHER,38901,41.0,H,F,3.0,,,L4D,L,D,T,3
HCC,MI,48141,17.0,H,M,2.0,,,L3G,L,A,S,2
,OTHER,96745,42.0,H,F,2.0,12.0,,L1F,L,C,R,1
L02,OTHER,37379,36.0,U,F,1.0,,,L3E,L,B,T,2
AML,IL,60631-,10.0,U,M,3.0,,,L1E,L,A,U,4
FRC,IL,62002,28.0,H,M,3.0,,,L4G,L,A,C,2
AGR,WI,53222,13.0,U,F,0,,,L1F,L,B,S,1
BHG,WA,98360,44.0,H,F,2.0,,,L3E,L,A,R,2
L21,CA,94040,13.0,H,M,3.0,,,L2F,L,A,S,1
AGR,IL,60443,16.0,H,M,2.0,,,L1G,L,A,S,2
MCC,OTHER,38401,44.0,U,F,3.0,,,L1G,L,C,R,2
AMB,OTHER,37087,36.0,H,M,3.0,,Y,L1F,L,B,T,2
AMB,WI,53719,11.0,U,M,0,,,L2G,L,B,S,1
MCC,OTHER,97504,30.0,U,M,0,,,L4F,L,C,C,3
BEL,NC,27215,32.0,H,F,3.0,,,L2E,L,C,C,3
FRC,WI,53550,49.0,U,M,3.0,,,L2F,L,D,R,2
HOS,FL,33129,28.0,U,F,0,,,L4D,L,A,C,2
SGI,IL,60047,12.0,U,,0,,,L4F,L,A,S,1
IMP,MI,48230,2.0,H,F,3.0,,,L1F,L,A,U,1
AML,CA,95376,24.0,H,M,2.0,,,L1G,L,B,C,1
OMH,MI,48161,27.0,U,M,1.0,,,L4D,L,A,C,2
LIS,CA,92543,33.0,H,M,3.0,,,L1E,L,A,C,3
SSS,FL,34481,29.0,H,M,3.0,,,L1F,L,C,C,2
TVF,CA,92625,13.0,H,M,3.0,,Y,L1F,L,A,S,1
MBC,TX,77356,34.0,H,M,3.0,,,L2F,L,A,T,1
DCD,OTHER,37642,43.0,H,M,3.0,,,L1F,L,B,R,2
TRN,IL,60617,10.0,U,F,2.0,,,L2F,L,A,U,4
MBC,OTHER,37643,36.0,U,M,1.0,,Y,L1F,L,B,T,2
AVN,OTHER,80537-,24.0,H,F,2.0,,,L1F,L,C,C,1
FRC,CA,92084,29.0,H,M,3.0,0.0,,L1G,L,A,C,2
BHG,OTHER,4364,36.0,U,F,0,,,L1G,L,C,T,2
HAN,OTHER,35117,51.0,H,F,3.0,,,L1G,L,B,R,3
AML,CA,94965,35.0,U,F,3.0,,,L1E,L,A,T,1
SYN,OTHER,97367,28.0,U,,0,,,L1F,L,D,C,2
LIS,TX,77511,40.0,H,M,1.0,12.0,,L1G,L,A,T,2
RPH,NC,28784,49.0,U,F,0,,,L1G,L,C,R,2
PCL,FL,33162,8.0,U,M,3.0,,,L2F,L,A,U,3
ASP,IL,60626,3.0,U,F,2.0,,,L1F,L,A,U,1
SYN,OTHER,55918-,45.0,U,U,3.0,,,L3F,L,D,R,2
HRB,OTHER,57006,31.0,U,M,0,,,L1G,L,D,C,3
AML,OTHER,58102,26.0,U,F,3.0,,,L3D,L,C,C,2
OVS,IL,61010,46.0,H,M,3.0,,,L2F,L,D,R,2
